x,y,z,BSSE_A,BSSE_B
0.25,0.5,0.5,0.0020243911880726273,0.0020243911882573684
0.25,0.5,0.75,0.001526775655619872,0.001526775655605661
0.25,0.5,1.0,0.001164527646096758,0.0011645276461109688
0.25,0.5,1.25,0.0007233662063015345,0.0007233662061310042
0.25,0.5,1.5,0.0005209346847152574,0.0005209346845447271
0.25,0.5,1.75,0.00047421785332346644,0.00047421785347978584
0.25,0.75,0.25,0.0017860840388408405,0.0017860840385139909
0.25,0.75,0.5,0.0015959969368282145,0.001595996936885058
0.25,0.75,0.75,0.0013206962115077658,0.0013206962115219767
0.25,0.75,1.0,0.0009942910741358446,0.0009942910739795252
0.25,0.75,1.25,0.0006219082489167249,0.0006219082488456706
0.25,0.75,1.5,0.0004855049842689141,0.0004855049842262815
0.25,0.75,1.75,0.0004150415319656986,0.00041504153207938543
0.25,1.0,0.25,0.0013681703499202058,0.0013681703501475795
0.25,1.0,0.5,0.0012380254631523258,0.0012380254632518017
0.25,1.0,0.75,0.0010249567922784308,0.0010249567921221114
0.25,1.0,1.0,0.0007281361178002044,0.0007281361180844215
0.25,1.0,1.25,0.0005217054897741491,0.0005217054898025708
0.25,1.0,1.5,0.00042372786188593636,0.0004237278617154061
0.25,1.0,1.75,0.0003368205332208163,0.0003368205331923946
0.25,1.25,0.25,0.0010206443207749771,0.0010206443206470794
0.25,1.25,0.5,0.0008865667071233929,0.0008865667071233929
0.25,1.25,0.75,0.0007028526422345749,0.0007028526421777315
0.25,1.25,1.0,0.0005536201949638553,0.0005536201954328135
0.25,1.25,1.25,0.0004430973790618964,0.0004430973787776793
0.25,1.25,1.5,0.0003409106635530179,0.00034091066366670475
0.25,1.25,1.75,0.00025147179509588113,0.00025147179533746566
0.25,1.5,0.25,0.0007394991361593384,0.000739499136102495
0.25,1.5,0.5,0.0006580662226269851,0.0006580662228827805
0.25,1.5,0.75,0.0005610545063774453,0.0005610545063206018
0.25,1.5,1.0,0.00045533945865372516,0.000455339458767412
0.25,1.5,1.25,0.0003451832684504552,0.00034518326806676214
0.25,1.5,1.5,0.0002457731990261891,0.00024577319885565885
0.25,1.5,1.75,0.0001756334137326121,0.00017563341366155782
0.25,1.75,0.25,0.0006233686821133233,0.0006233686820280582
0.25,1.75,0.5,0.0005390247617498289,0.0005390247618635158
0.25,1.75,0.75,0.00043113328341348733,0.00043113328337085477
0.25,1.75,1.0,0.0003244360433143356,0.0003244360432574922
0.25,1.75,1.25,0.0002285576393745714,0.00022855763938878226
0.25,1.75,1.5,0.0001576071173587934,0.00015760711747248024
0.25,1.75,1.75,0.00012893237568789573,0.0001289323756310523
0.5,0.25,0.25,0.002202381898399608,0.0022023818986127708
0.5,0.25,0.5,0.002024391188484742,0.002024391188200525
0.5,0.25,0.75,0.0015267756556340828,0.0015267756554635525
0.5,0.25,1.0,0.001164527646380975,0.0011645276461251797
0.5,0.25,1.25,0.000723366206443643,0.0007233662065004864
0.5,0.25,1.5,0.0005209346847010465,0.0005209346845447271
0.5,0.25,1.75,0.00047421785322399046,0.00047421785350820755
0.5,0.5,0.25,0.0019035775987248371,0.0019035775985969394
