Delta_E_AB_AB,BSSE_A,BSSE_B,x,y,z
0.18754001287859978,0.0024736722405123146,0.002473682617733175,1.25,0.75,0.5
0.12185209932874841,0.0020490641293235967,0.0020490581409831066,1.25,0.75,0.75
0.06956638425175754,0.0015811169861734697,0.0015811042243569773,1.25,0.75,1.0
0.035896060213943315,0.0011140553014570287,0.0011140396573381395,1.25,0.75,1.25
0.017298412985326195,0.0007200372752436124,0.0007200409329755075,1.25,0.75,1.5
0.008141100166369597,0.0004500627777730415,0.00045007277576303295,1.25,0.75,1.75
0.14173419986798308,0.0023045819147142765,0.002304556226803811,1.25,1.0,0.25
0.10981636743078127,0.002020888353939654,0.0020208817228564158,1.25,1.0,0.5
0.07373674382593265,0.0016490438018195164,0.0016490034787324248,1.25,1.0,0.75
0.043765053496869655,0.0012456435051717563,0.0012456415468165005,1.25,1.0,1.0
0.02358165040699589,0.0008633584481145817,0.0008633563395505917,1.25,1.0,1.25
0.011935411861230705,0.0005565553595516803,0.0005565526075343996,1.25,1.0,1.5
0.005963610883199522,0.00036225971463466067,0.00036221546733372634,1.25,1.0,1.75
0.07303582829796085,0.001774160623895682,0.0017741513179601043,1.25,1.25,0.25
0.05814751319094569,0.0015237851344664932,0.0015237831997012563,1.25,1.25,0.5
0.04050614433994326,0.0012121448063737716,0.0012121542158496368,1.25,1.25,0.75
0.025139767956915193,0.0008961747441844636,0.000896157762696248,1.25,1.25,1.0
0.014270443216688022,0.0006155210683402856,0.0006155130486860116,1.25,1.25,1.25
0.007690062980699963,0.0004066904398882798,0.00040671496320499045,1.25,1.25,1.5
0.004155030869142706,0.00029098048710807234,0.00029098655956261155,1.25,1.25,1.75
0.03462982514997748,0.001223579464195268,0.0012235356370098316,1.25,1.5,0.25
0.02844512195817117,0.0010249975804725864,0.0010249907851402895,1.25,1.5,0.5
0.020633981467113927,0.0007996549024227306,0.0007996617270435991,1.25,1.5,0.75
0.013468947404092546,0.0005866845891517869,0.0005867029044566152,1.25,1.5,1.0
0.008137440426395415,0.00041263545594460993,0.0004126180020875836,1.25,1.5,1.25
0.004742061794971164,0.00029900158807549815,0.0002990138603848891,1.25,1.5,1.5
0.0028183989460615066,0.0002441680811386959,0.0002441774787769191,1.25,1.5,1.75
0.015167859643639758,0.0007466594436493779,0.0007466090173409157,1.25,1.75,0.25
0.01298152859153845,0.0006142440861509613,0.0006142468403425028,1.25,1.75,0.5
0.009889415201655538,0.0004809642182266316,0.0004809833271934849,1.25,1.75,0.75
0.006860985736224734,0.00036767729764619617,0.0003676720704532954,1.25,1.75,1.0
0.004475407618713234,0.0002867394005221513,0.0002867511809796497,1.25,1.75,1.25
0.002866527542423114,0.00023957038695243682,0.0002395810704882706,1.25,1.75,1.5
0.0018980636539964735,0.00021262848210312768,0.0002125995295472194,1.25,1.75,1.75
0.19409813377441765,0.0025726596113173628,0.0025726521096061106,1.5,0.25,0.25
0.14838628322971203,0.002268900987132838,0.0022688935166570445,1.5,0.25,0.5
0.09783366964722973,0.0018701574949346877,0.0018701942430965346,1.5,0.25,0.75
0.05682159039504597,0.0014304933312985213,0.0014304846547048555,1.5,0.25,1.0
0.029880526935059493,0.0009999745001891824,0.000999977336434199,1.5,0.25,1.25
0.014707416296047882,0.0006446185978887797,0.0006446016757024609,1.5,0.25,1.5
0.007100662763050991,0.0004083840513828818,0.0004083921173929639,1.5,0.25,1.75
0.15313234386127306,0.0023689021357000684,0.002368897668461045,1.5,0.5,0.25
0.11826266255451401,0.002080844015253547,0.0020808442362607593,1.5,0.5,0.5
0.07905690360841788,0.001702722450616534,0.0017027445547057596,1.5,0.5,0.75
0.0466747403765595,0.0012901443775916732,0.0012901346082401233,1.5,0.5,1.0
0.024999100891008652,0.000895907016982278,0.0008959070258072188,1.5,0.5,1.25
0.012565058474891089,0.000577272838143017,0.0005772761880535882,1.5,0.5,1.5
0.00622442771258136,0.0003728236060709378,0.00037284350767663454,1.5,0.5,1.75
0.10482608585635944,0.002059910530206821,0.0020599036266588655,1.5,0.75,0.25
0.08223854908325734,0.001791135997677884,0.0017911157569301395,1.5,0.75,0.5
0.05616463391957893,0.0014443662120839917,0.001444380474765694,1.5,0.75,0.75
0.034024489444760775,0.0010790600276777695,0.0010790417719306333,1.5,0.75,1.0
0.01876914041194766,0.0007434378167374689,0.000743403432736045,1.5,0.75,1.25
0.00976739688996986,0.0004821259040568293,0.0004821152542433538,1.5,0.75,1.5
0.005052368057576473,0.0003256510305931215,0.00032560322145513965,1.5,0.75,1.75
0.06348026181012756,0.0016654296717462103,0.0016654455533426926,1.5,1.0,0.25
0.050829398587609376,0.0014233155025920041,0.0014233318343315204,1.5,1.0,0.5
0.0356780636144407,0.00112700130351584,0.0011269972532659267,1.5,1.0,0.75
0.022351528562552403,0.0008306229321135561,0.0008306258450829773,1.5,1.0,1.0
0.01283208992960283,0.0005708628775238367,0.0005708307783436339,1.5,1.0,1.25
0.007012913781792918,0.00038159645693269795,0.00038161764402389053,1.5,1.0,1.5
0.0038558674826418837,0.00027997307044813624,0.00027994446233492454,1.5,1.0,1.75
0.034629828324895584,0.0012235793501105263,0.0012235372930149424,1.5,1.25,0.25
0.028445122033559755,0.0010249975791509769,0.0010249907887498466,1.5,1.25,0.5
0.020633981532711232,0.0007996548748110399,0.0007996617271999185,1.5,1.25,0.75
0.013468947479367444,0.0005866845693134337,0.0005867028943242758,1.5,1.25,1.0
0.00813744047670184,0.0004126354715197067,0.00041261800166125795,1.5,1.25,1.25
0.004742061744877901,0.0002990015882460284,0.0002990138567042777,1.5,1.25,1.5
0.0028183989949610577,0.00024416808096816567,0.00024417747009408686,1.5,1.25,1.75
0.017179583471701676,0.0008071792991017901,0.0008071279640802231,1.5,1.5,0.25
0.014600860663435355,0.000664970918322183,0.0006649260421056624,1.5,1.5,0.5
0.011034751042956259,0.0005188704711116543,0.0005188812132672638,1.5,1.5,0.75
0.007581346238595188,0.00039225196249503824,0.0003922427153781882,1.5,1.5,1.0
0.0048858746019817545,0.0002999049942786769,0.00029993638493408525,1.5,1.5,1.25
0.0030840597816563786,0.0002458675040770686,0.0002458609248492394,1.5,1.5,1.5
0.002009316905088099,0.0002168492028857827,0.00021682935663136504,1.5,1.5,1.75
0.007684509260556638,0.000493353562561083,0.0004933066103376404,1.5,1.75,0.25
0.006888442293373487,0.0004089501757249536,0.00040892410621040653,1.5,1.75,0.5
0.0055107543543755355,0.00033425063632819274,0.00033425664611286265,1.5,1.75,0.75
0.004048576704391849,0.00027744627155357193,0.0002774306695556561,1.5,1.75,1.0
0.0028291581854062997,0.00023931628373929925,0.00023932622166000783,1.5,1.75,1.25
0.0019637387851503263,0.00021321377622030013,0.0002132419072893299,1.5,1.75,1.5
0.001417176184261848,0.00019030819257181975,0.00019030621352555954,1.5,1.75,1.75
0.07303589263486288,0.0017741825619879137,0.0017741807932480924,1.75,0.25,0.25
0.05814747692276967,0.0015237771929434984,0.0015237571492292545,1.75,0.25,0.5
0.040506161023799336,0.001212138692693543,0.0012121321810099062,1.75,0.25,0.75
