Delta_E_AB_AB,BSSE_A,BSSE_B,x,y,z
0.007090798432344059,0.0008172652303102268,0.0010064841515600165,1.25,2.5,0.25
0.0053967479069143565,0.0007789285641877086,0.0009250345150775274,1.25,2.5,0.5
0.003355932069212031,0.0007200176796686719,0.0008098988678284513,1.25,2.5,0.75
0.0015806393628849946,0.0006470538935303694,0.0006830255583309963,1.25,2.5,1.0
0.00036409701080231116,0.0005658133283361622,0.0005607406769314593,1.25,2.5,1.25
-0.0002902543695455506,0.00048224791412110335,0.00045170430354346536,1.25,2.5,1.5
-0.0005248633395211755,0.0004015520680695772,0.0003586480880386489,1.25,2.5,1.75
0.003906826519383344,0.0006353045679929892,0.0007409256284205412,1.25,2.75,0.25
0.003051075200374953,0.0006131128642294925,0.000679878084568486,1.25,2.75,0.5
0.0019832649689703885,0.0005742075180705797,0.000601268125592469,1.25,2.75,0.75
0.0010098736282628806,0.0005208983111515408,0.0005178091686133257,1.25,2.75,1.0
0.0003043191877054596,0.00045783948677069475,0.0004352124768303156,1.25,2.75,1.25
-0.00010295370282165095,0.00039077933249132,0.0003582123020464678,1.25,2.75,1.5
-0.000268297382845617,0.00032502686646296297,0.0002913195019118575,1.25,2.75,1.75
0.012724066218751773,0.001122598801600816,0.0017059518977902144,1.5,2.0,0.25
0.009263382340563453,0.001044124896594667,0.0015769722921135099,1.5,2.0,0.5
0.00532198282640195,0.0009349776414779853,0.0013644854343795032,1.5,2.0,0.75
0.002130652829379187,0.0008113514081600215,0.001110508905199481,1.5,2.0,1.0
0.00011348262960098054,0.0006879076199766132,0.0008608619832415343,1.5,2.0,1.25
-0.0008668216306659815,0.0005776331270226365,0.0006487707033784318,1.5,2.0,1.5
-0.001137621250563825,0.00048575691766927775,0.0004901718114638243,1.5,2.0,1.75
0.005479121772253848,0.0008644889552726909,0.0012300549691133256,1.5,2.25,0.25
0.003800121623058317,0.0008174646385157303,0.001135369229913863,1.5,2.25,0.5
0.001845380992591572,0.0007483325222352732,0.0009895774260115786,1.5,2.25,0.75
0.0002378673134728615,0.000666469158829841,0.0008182280587902824,1.5,2.25,1.0
-0.0007594264908874493,0.0005803470015308676,0.0006499683788376842,1.5,2.25,1.25
-0.001181099553306808,0.0004969951102395953,0.0005061196530533607,1.5,2.25,1.5
-0.0011975829679045091,0.0004187500613284101,0.00039105771983827253,1.5,2.25,1.75
0.0024343537128288517,0.0006706901924502517,0.0008834302438032182,1.5,2.5,0.25
0.0015988272592011299,0.0006444787001100849,0.0008154509032323176,1.5,2.5,0.5
0.0005999637240847733,0.0006019484379891082,0.0007176786869393936,1.5,2.5,0.75
-0.00024296397461398556,0.0005463027015508715,0.0006066872635273057,1.5,2.5,1.0
-0.0007687847064943298,0.00048238640356146334,0.00049719998855835,1.5,2.5,1.25
-0.0009734680049717781,0.0004150805483931208,0.0003985369455108412,1.5,2.5,1.5
-0.0009407016956828329,0.00034797400286379343,0.0003139442916193502,1.5,2.5,1.75
0.001333298249093673,0.0005349757398676047,0.000672889264237142,1.5,2.75,0.25
0.0008912264376021994,0.0005174488388490772,0.0006189257137521054,1.5,2.75,0.5
0.0003457492005622953,0.00048657847888478045,0.000545741534963895,1.5,2.75,0.75
-0.0001353053780803748,0.00044362375543016697,0.0004658637011658584,1.5,2.75,1.0
-0.0004537517314986417,0.00039219954274472,0.00038760023352324424,1.5,2.75,1.25
-0.0005923643225003161,0.0003366993481250802,0.00031642170442580664,1.5,2.75,1.5
-0.0005866504664027161,0.0002815081625868743,0.00025567988630825766,1.5,2.75,1.75
0.0030557711060907877,0.0008600701011118872,0.0013533309358706447,1.75,2.0,0.25
0.00165657161130639,0.000806921663880189,0.0012500945722564438,1.75,2.0,0.5
7.887014098173495e-05,0.0007309370337509336,0.0010896502898845029,1.75,2.0,0.75
-0.0011395126826840851,0.0006453003508539723,0.0008981133549070819,1.75,2.0,1.0
-0.0017927857743416098,0.0005617168732072741,0.000707329413259572,1.75,2.0,1.25
-0.0019364894123725662,0.0004862604236848256,0.0005447243477760821,1.75,2.0,1.5
-0.0017390730930912923,0.0004160797185619458,0.0004167168061286475,1.75,2.0,1.75
0.00042821319135555314,0.0006739529736279337,0.0009957119769268274,1.75,2.25,0.25
-0.00025574985590992583,0.0006432716593280929,0.0009205515403607478,1.75,2.25,0.5
-0.0010264556955092985,0.0005970518552231852,0.0008072710358817403,1.75,2.25,0.75
-0.0016003640658510676,0.000540950444246846,0.0006747718030482019,1.75,2.25,1.0
-0.0018529498187689342,0.0004803675177385003,0.000544020074613627,1.75,2.25,1.25
-0.0018069352769884972,0.0004180979760946002,0.0004285815929989667,1.75,2.25,1.5
-0.0015609480785059304,0.0003546722842742156,0.00033053440316166416,1.75,2.25,1.75
